Cation Runtime (min),Neutral Runtime (min),Cation@Neutral Runtime (min),Neutral@Cation Runtime (min),Monomer 1,Monomer 2,Oligomer Length
118.42,48.14,36.839999999999996,4.62,79,97,2
53.0,40.16,15.44,13.18,10,44,2
159.28,99.64,19.48,20.76,86,94,2
59.5,72.24,11.959999999999999,11.059999999999999,16,67,2
87.68,60.42,38.62,17.54,30,80,2
60.44,29.2,20.74,29.439999999999998,22,58,2
187.78,77.0,6.220000000000001,30.22,11,92,2
99.34,57.7,13.5,9.36,42,99,2
94.68,37.72,35.839999999999996,26.84,70,85,2
98.02,48.480000000000004,40.94,34.779999999999994,21,34,2
208.54,62.68,37.339999999999996,13.02,69,75,2
66.36,39.16,28.3,34.96,12,65,2
144.16,79.02,12.08,10.68,34,82,2
63.5,59.14,33.019999999999996,14.860000000000001,9,43,2
78.97999999999999,36.24,13.76,24.7,20,79,2
180.38,44.64,40.16,8.879999999999999,67,89,2
70.16,64.62,33.739999999999995,28.7,29,70,2
78.56,73.8,36.4,11.9,91,98,2
72.22,43.6,21.42,17.78,52,60,2
83.8,21.28,9.34,2.84,36,78,2
142.02,91.08,36.879999999999995,27.0,38,84,2
421.92,222.5,37.92,24.54,23,55,2
104.74,38.18,37.06,13.88,39,52,2
164.34,69.24,15.74,8.8,78,81,2
66.3,20.36,28.8,21.34,4,93,2
91.16,54.84,8.94,18.68,61,71,2
158.66,95.19999999999999,11.620000000000001,12.66,26,81,2
120.08,86.86,21.86,16.52,16,27,2
109.62,53.24,25.74,9.96,47,96,2
94.75999999999999,59.08,26.54,13.219999999999999,21,74,2
98.48,73.02,33.92,18.86,27,57,2
161.84,93.08,14.7,23.099999999999998,66,84,2
125.08,71.0,35.04,35.18,54,98,2
88.16,45.18,38.42,14.839999999999998,50,57,2
64.58,42.8,9.32,35.14,70,93,2
76.64,54.260000000000005,24.36,36.64,37,63,2
46.74,49.9,11.14,34.06,8,18,2
151.12,81.7,13.16,18.6,23,98,2
99.86,65.66,18.799999999999997,24.7,7,32,2
109.14,108.14,12.86,21.599999999999998,51,81,2
45.08,240.4,30.279999999999998,34.739999999999995,1,11,2
85.42,48.599999999999994,14.5,28.3,43,59,2
112.68,89.75999999999999,24.9,8.58,30,96,2
168.34,83.3,36.260000000000005,9.48,15,86,2
57.1,59.36,36.779999999999994,10.28,8,83,2
42.67999999999999,20.799999999999997,18.34,26.88,1,2,2
67.82,65.96000000000001,38.96,7.04,33,61,2
96.86,26.1,21.939999999999998,13.76,41,78,2
98.58,72.26,14.18,21.16,34,94,2
35.16,39.17999999999999,12.0,22.36,19,80,2
102.58,40.46,21.56,9.98,25,60,2
140.76,81.46000000000001,12.98,21.74,23,43,2
50.28,31.8,19.68,26.56,39,44,2
50.34,36.3,15.1,9.98,4,85,2
52.64,53.72,19.119999999999997,2.24,42,54,2
75.26,39.86,16.78,4.76,21,62,2
980.7,69.46000000000001,7.3,31.52,66,92,2
97.76,40.56,14.319999999999999,35.44,46,56,2
121.58,62.599999999999994,34.46,35.9,26,97,2
42.06,67.02,8.16,18.04,1,51,2
129.22,70.32,34.64,22.4,53,60,2
119.68,103.84,34.339999999999996,23.779999999999998,7,69,2
100.58,58.3,23.54,8.48,28,70,2
60.22,52.44,16.78,8.780000000000001,32,77,2
145.07999999999998,50.88,37.62,4.459999999999999,9,95,2
117.6,62.64,38.379999999999995,21.3,83,96,2
106.2,28.98,6.18,17.08,2,26,2
117.78,88.92,20.72,3.12,37,38,2
70.58,35.84,28.82,15.08,21,79,2
58.32,26.82,18.32,13.96,8,43,2
132.3,94.47999999999999,7.74,8.04,38,89,2
95.06,50.26,32.78,20.06,30,56,2
46.2,47.44,17.1,21.76,6,24,2
73.78,59.82,30.88,16.58,31,80,2
98.84,70.16,35.06,4.82,26,57,2
163.9,79.6,9.98,26.639999999999997,67,84,2
97.4,39.82,10.959999999999999,35.32,41,63,2
180.46,89.68,34.82,36.48,55,98,2
102.18,54.72,26.179999999999996,8.96,60,71,2
111.94,496.48,33.44,5.220000000000001,17,27,2
314.14,133.48,40.68,14.28,22,55,2
212.82,94.74000000000001,43.3,26.639999999999997,63,86,2
122.25999999999999,72.58,24.339999999999996,36.239999999999995,18,96,2
106.82,58.32,13.66,12.02,28,30,2
87.03999999999999,55.56,10.18,4.04,45,61,2
78.92,35.4,5.92,32.5,5,93,2
105.72,64.64,25.2,37.86,79,81,2
64.22,37.08,10.12,10.219999999999999,37,78,2
64.5,58.4,24.599999999999998,32.620000000000005,21,39,2
60.0,38.66,35.22,29.74,58,93,2
69.44,54.379999999999995,37.06,23.32,2,66,2
95.08,96.6,16.16,26.76,95,97,2
98.88,28.98,26.9,27.52,4,45,2
96.58,52.18,31.88,34.16,39,84,2
70.78,57.8,32.379999999999995,35.98,6,53,2
129.88,89.76,25.38,27.86,21,95,2
70.16,41.1,37.54,18.439999999999998,41,54,2
94.74,59.620000000000005,39.339999999999996,18.619999999999997,47,77,2
78.08,58.58,22.599999999999998,24.34,9,79,2
59.06,43.94,14.48,3.8,26,60,2
55.14,28.119999999999997,15.68,33.46,4,72,2
54.480000000000004,52.98,4.9,17.299999999999997,44,80,2
71.16,26.96,4.24,24.099999999999998,15,31,2
114.68,115.53999999999999,24.46,18.119999999999997,25,97,2
139.62,134.0,14.08,13.2,38,65,2
74.72,77.78,20.299999999999997,22.279999999999998,43,75,2
63.82,28.68,30.0,36.58,59,72,2
84.1,51.9,7.4,35.56,22,62,2
92.9,54.4,9.66,10.08,36,99,2
72.76,39.86,25.38,3.3200000000000003,8,74,2
68.28,34.34,5.58,18.099999999999998,4,7,2
80.4,28.66,9.76,36.46,29,91,2
115.72,86.88,26.62,28.62,52,81,2
214.16,59.599999999999994,38.14,35.92,34,63,2
179.6,144.44,36.620000000000005,23.58,55,74,2
94.86,44.58,5.02,9.86,28,47,2
109.36,57.92,43.0,33.379999999999995,53,57,2
71.34,70.5,4.92,21.04,37,94,2
119.24,50.54,31.92,7.52,30,61,2
61.4,30.64,7.779999999999999,3.74,77,91,2
75.16,53.620000000000005,26.96,15.76,9,39,2
149.44,120.03999999999999,27.46,23.96,51,76,2
187.8,117.72,28.979999999999997,26.939999999999998,16,86,2
51.739999999999995,58.66,30.939999999999998,30.04,14,27,2
40.28,31.119999999999997,20.78,14.739999999999998,3,47,2
80.62,34.06,6.6,9.559999999999999,5,64,2
78.84,34.3,6.36,35.48,45,96,2
55.839999999999996,59.82,31.2,27.76,36,59,2
120.3,80.66,13.059999999999999,29.46,24,81,2
101.14,54.66,31.179999999999996,16.92,18,61,2
27.58,24.119999999999997,7.64,2.86,2,91,2
91.52,30.78,15.799999999999999,29.439999999999998,42,63,2
114.94,66.62,22.86,5.34,64,84,2
99.0,77.44,13.459999999999999,24.38,25,57,2
58.980000000000004,42.24,19.38,20.32,10,25,2
65.46000000000001,59.879999999999995,30.54,24.639999999999997,41,94,2
46.3,40.16,24.9,5.0,22,39,2
60.239999999999995,25.6,19.5,18.76,6,93,2
55.6,45.22,35.46,4.640000000000001,31,37,2
162.48,123.66,19.799999999999997,10.12,60,86,2
226.14,93.8,37.78,17.88,21,55,2
97.47999999999999,106.08,29.4,33.08,34,38,2
120.97999999999999,67.94,26.8,16.560000000000002,65,89,2
128.9,96.32,15.48,30.139999999999997,57,95,2
57.96,32.62,6.06,10.12,1,26,2
65.96000000000001,37.62,37.699999999999996,36.52,10,65,2
69.44,32.519999999999996,14.38,28.96,27,36,2
99.46000000000001,77.75999999999999,22.68,3.24,93,98,2
67.1,65.52000000000001,25.76,11.12,50,60,2
38.54,40.739999999999995,27.8,10.6,12,44,2
159.96,85.96000000000001,15.2,15.319999999999999,84,94,2
70.02,58.3,7.34,7.52,14,67,2
93.98,35.94,30.76,2.12,33,56,2
43.9,28.5,30.04,33.839999999999996,3,8,2
73.08,61.64,33.599999999999994,32.92,11,28,2
87.24,61.44,9.0,24.62,29,51,2
76.52,64.96000000000001,38.36,13.94,54,62,2
68.18,30.96,25.639999999999997,12.739999999999998,42,75,2
82.0,45.92,31.779999999999998,31.16,39,65,2
226.78,129.64,10.5,20.96,23,62,2
86.28,86.02,20.4,19.26,37,99,2
148.74,72.19999999999999,17.72,12.08,64,92,2
75.72,52.82,18.98,4.279999999999999,58,72,2
166.68,50.22,29.5,7.58,25,41,2
52.76,71.2,34.96,32.86,14,31,2
67.34,33.56,35.52,27.16,12,100,2
90.5,53.44,15.32,11.0,57,58,2
133.5,95.2,16.96,8.780000000000001,5,72,2
66.9,41.78,29.0,21.04,9,34,2
97.88,40.54,25.48,6.82,18,77,2
91.66,62.48,13.54,16.64,46,77,2
46.04,25.759999999999998,10.16,28.06,8,79,2
75.66,62.28,30.220000000000002,32.379999999999995,12,89,2
254.14,207.88,22.1,35.82,55,79,2
150.14,64.78,12.82,24.779999999999998,69,99,2
83.34,99.22,34.48,7.7,20,95,2
47.72,51.879999999999995,29.720000000000002,13.42,8,39,2
109.58,61.66,23.679999999999996,3.08,76,91,2
352.1,131.04,41.739999999999995,9.34,17,86,2
55.379999999999995,61.019999999999996,35.66,17.56,36,94,2
92.18,52.739999999999995,27.779999999999998,37.58,21,98,2
106.12,34.74,39.98,29.36,77,100,2
97.44,47.24,33.72,37.279999999999994,52,57,2
98.58,35.28,17.7,27.979999999999997,54,74,2
82.4,71.72,15.0,8.76,18,37,2
100.82,136.14,27.979999999999997,27.439999999999998,32,96,2
81.26,58.48,18.58,29.139999999999997,9,74,2
76.82,62.739999999999995,35.42,33.04,5,32,2
93.97999999999999,62.94,27.76,28.24,12,52,2
74.02,85.97999999999999,3.1399999999999997,36.64,14,71,2
64.84,48.019999999999996,15.219999999999999,12.56,41,59,2
105.97999999999999,94.98,5.74,28.66,28,91,2
61.4,39.22,5.3,5.32,3,11,2
137.02,86.16,36.260000000000005,20.8,84,99,2
88.06,76.6,10.719999999999999,29.74,7,93,2
49.6,43.28,24.16,7.46,47,61,2
74.76,59.120000000000005,19.24,24.76,12,49,2
247.32,116.24,33.94,34.56,61,86,2
55.72,83.19999999999999,17.619999999999997,31.479999999999997,11,25,2
97.72,45.3,28.82,21.52,6,45,2
88.42,42.12,26.02,30.02,21,83,2
193.57999999999998,116.86,39.58,36.02,23,39,2
57.64,46.7,15.44,9.16,3,5,2
65.96000000000001,27.060000000000002,19.16,5.56,3,91,2
81.66,56.78,22.16,34.48,43,63,2
89.96000000000001,52.34,17.96,4.16,24,57,2
81.3,35.78,20.0,13.219999999999999,22,74,2
74.42,39.86,29.2,28.9,4,64,2
115.53999999999999,47.5,7.68,25.04,44,96,2
42.46,44.879999999999995,12.26,9.819999999999999,2,47,2
133.76,91.38,28.86,24.92,93,95,2
222.6,208.38,8.8,22.26,25,81,2
122.06,85.03999999999999,39.199999999999996,25.279999999999998,89,92,2
63.22,42.86,31.179999999999996,18.88,19,61,2
72.7,90.38,10.82,14.12,62,71,2
66.14,94.86,3.48,17.439999999999998,8,22,2
97.7,49.64,28.34,30.26,28,100,2
103.86,64.36,15.2,23.24,28,51,2
80.52,71.88,24.58,26.220000000000002,41,99,2
84.16,36.22,26.279999999999998,17.38,12,92,2
55.28,37.18,8.16,29.139999999999997,10,28,2
66.42,57.96,8.82,16.6,8,62,2
64.82,26.28,33.08,17.439999999999998,19,21,2
125.48,40.18,41.199999999999996,34.66,15,67,2
137.98,75.28,32.620000000000005,6.98,85,94,2
321.78,64.67999999999999,24.52,13.98,52,97,2
49.82,39.260000000000005,12.4,25.479999999999997,26,36,2
91.64,81.4,15.62,17.119999999999997,30,77,2
92.26,58.26,16.9,8.059999999999999,36,54,2
85.4,50.480000000000004,37.56,16.939999999999998,5,69,2
100.1,38.32,37.52,34.699999999999996,92,98,2
91.58,42.24,24.96,32.96,64,89,2
184.34,88.16,30.46,28.279999999999998,23,79,2
74.46,67.66,14.14,34.16,37,82,2
190.62,59.6,27.38,13.839999999999998,81,96,2
33.96,64.06,10.44,16.6,1,17,2
94.58,56.760000000000005,37.3,21.86,37,65,2
86.4,38.8,10.84,30.58,21,24,2
141.66,72.86,13.559999999999999,22.939999999999998,70,95,2
96.17999999999999,40.18,19.419999999999998,36.76,31,46,2
271.92,49.56,9.26,15.08,42,89,2
86.34,46.14,28.279999999999998,13.52,56,72,2
88.7,64.75999999999999,28.16,35.839999999999996,11,82,2
86.78,76.1,27.9,15.96,39,99,2
80.2,35.56,26.5,2.6,34,92,2
34.9,44.739999999999995,17.36,8.74,3,36,2
64.48,72.78,38.4,32.56,94,100,2
118.74,38.56,39.379999999999995,11.96,33,67,2
104.86,81.47999999999999,23.2,31.38,74,97,2
150.92000000000002,68.24,35.1,4.04,8,85,2
114.14,81.97999999999999,32.92,14.339999999999998,17,100,2
127.24,55.760000000000005,36.4,18.139999999999997,29,60,2
97.53999999999999,56.42,36.94,23.54,43,84,2
106.26,56.599999999999994,18.72,27.979999999999997,72,100,2
113.32,88.78,31.3,17.66,38,94,2
65.24,40.239999999999995,6.640000000000001,35.14,22,93,2
63.6,126.08,17.7,3.7800000000000002,71,98,2
98.42,61.92,6.14,7.58,42,52,2
71.53999999999999,27.759999999999998,25.5,27.88,39,42,2
61.44,25.240000000000002,35.879999999999995,7.88,44,71,2
