Cation Runtime (s),Neutral Runtime (s),Cation@Neutral Runtime (s),Neutral@Cation Runtime (s),Monomer 1,Monomer 2,Oligomer Length
3.536,3.431,0.09,0.09,11,95,2
1.269,1.172,0.093,0.091,7,85,2
1.449,1.252,0.113,0.101,56,65,2
1.975,1.709,0.117,0.112,70,82,2
1.168,0.861,0.129,0.116,58,99,2
1.461,1.097,0.077,0.072,9,79,2
3.248,2.537,0.106,0.096,31,51,2
1.829,1.436,0.097,0.09,64,79,2
1.737,1.513,0.105,0.1,37,72,2
1.62,1.069,0.1,0.09,21,33,2
2.014,2.969,0.112,0.104,23,89,2
0.65,0.584,0.101,0.099,38,58,2
1.097,0.95,0.074,0.069,10,43,2
3.597,3.134,0.146,0.129,86,93,2
1.232,1.435,0.088,0.082,16,60,2
1.118,0.862,0.089,0.08,6,53,2
1.664,1.251,0.1,0.098,29,77,2
1.613,1.342,0.118,0.107,15,97,2
2.58,2.03,0.14,0.124,52,67,2
1.847,1.224,0.102,0.093,74,80,2
1.4,0.814,0.09,0.082,33,70,2
2.117,2.006,0.1,0.092,25,31,2
2.242,1.934,0.124,0.112,69,72,2
3.254,1.503,0.08,0.077,14,41,2
1.634,1.208,0.095,0.086,41,69,2
1.38,0.811,0.101,0.096,4,72,2
3.645,3.523,0.121,0.113,55,92,2
1.531,1.214,0.095,0.092,12,62,2
1.019,0.725,0.079,0.075,2,51,2
2.223,2.604,0.099,0.101,82,91,2
2.129,1.618,0.118,0.112,34,85,2
1.285,0.749,0.088,0.083,8,34,2
0.358,0.251,0.064,0.062,19,91,2
2.002,1.891,0.1,0.096,25,71,2
2.696,2.642,0.124,0.112,23,52,2
2.871,2.024,0.144,0.137,62,81,2
1.079,0.751,0.091,0.086,44,66,2
2.263,1.692,0.116,0.117,39,55,2
2.348,3.062,0.131,0.127,78,86,2
1.474,1.224,0.093,0.093,29,37,2
0.966,0.928,0.07,0.07,42,45,2
1.836,2.018,0.099,0.086,59,94,2
1.371,1.021,0.08,0.079,8,74,2
1.548,1.392,0.107,0.106,18,47,2
2.513,2.071,0.118,0.108,65,74,2
1.828,1.476,0.113,0.106,22,84,2
1.252,0.998,0.081,0.076,12,22,2
1.202,1.11,0.091,0.088,10,98,2
0.339,0.238,0.06,0.06,2,11,2
1.817,1.274,0.117,0.116,38,83,2
1.257,0.715,0.078,0.073,4,32,2
1.501,1.401,0.097,0.087,43,93,2
1.476,1.105,0.098,0.086,27,50,2
2.265,1.806,0.11,0.104,72,78,2
1.658,1.637,0.11,0.107,66,83,2
1.773,1.039,0.074,0.074,9,39,2
1.243,0.969,0.086,0.086,46,47,2
3.567,2.419,0.139,0.124,61,76,2
2.369,2.044,0.132,0.124,26,86,2
1.048,0.912,0.099,0.088,16,20,2
1.034,0.802,0.077,0.075,47,91,2
1.131,1.132,0.089,0.084,10,18,2
0.277,0.239,0.061,0.06,2,91,2
1.41,1.496,0.097,0.1,53,71,2
2.102,1.705,0.107,0.093,28,61,2
8.087,1.628,0.119,0.115,14,81,2
1.981,1.077,0.095,0.086,32,66,2
1.884,1.995,0.083,0.082,24,27,2
3.64,2.816,0.136,0.126,75,96,2
2.574,1.872,0.122,0.119,49,76,2
2.018,0.991,0.092,0.087,34,45,2
1.287,0.901,0.081,0.08,3,47,2
0.872,0.841,0.092,0.084,15,57,2
1.481,0.923,0.09,0.087,5,64,2
1.984,1.669,0.12,0.115,54,84,2
2.988,2.513,0.127,0.118,66,98,2
1.22,0.909,0.076,0.069,9,22,2
1.389,1.009,0.081,0.074,6,93,2
2.593,1.649,0.093,0.087,4,29,2
1.295,0.623,0.083,0.079,2,100,2
1.796,1.124,0.082,0.081,12,39,2
1.181,1.072,0.079,0.078,10,83,2
3.193,1.848,0.131,0.128,38,98,2
1.532,1.985,0.084,0.084,36,64,2
1.864,1.886,0.104,0.096,20,25,2
1.428,1.097,0.091,0.087,71,94,2
1.207,0.903,0.088,0.085,30,47,2
6.8,3.747,0.135,0.127,17,76,2
1.346,1.211,0.078,0.07,7,45,2
2.211,1.379,0.105,0.104,11,55,2
1.054,0.825,0.074,0.071,1,66,2
3.565,3.088,0.134,0.125,50,86,2
1.969,1.074,0.104,0.1,23,49,2
1.319,1.137,0.082,0.077,31,91,2
1.815,1.327,0.093,0.086,58,59,2
1.581,1.41,0.09,0.085,26,46,2
3.109,2.708,0.132,0.124,67,95,2
1.968,1.296,0.113,0.103,20,65,2
1.539,1.072,0.101,0.095,47,51,2
1.204,1.028,0.086,0.078,12,79,2
1.755,1.666,0.108,0.099,41,72,2
1.41,1.136,0.093,0.086,4,69,2
4.109,3.66,0.129,0.122,55,89,2
1.136,0.909,0.072,0.066,11,15,2
0.852,0.565,0.065,0.062,1,26,2
1.474,1.404,0.091,0.09,17,36,2
1.347,1.381,0.08,0.079,22,44,2
4.263,3.62,0.16,0.148,63,97,2
2.043,1.454,0.11,0.1,24,67,2
1.453,1.041,0.104,0.092,43,53,2
2.621,2.031,0.105,0.105,38,43,2
1.165,0.947,0.082,0.076,45,70,2
0.909,0.881,0.067,0.066,10,58,2
1.649,1.207,0.089,0.086,37,69,2
1.195,0.878,0.097,0.092,21,28,2
1.941,2.21,0.106,0.096,23,92,2
2.852,2.52,0.136,0.118,70,99,2
2.802,2.303,0.112,0.11,58,82,2
1.809,1.248,0.087,0.086,9,62,2
1.086,0.761,0.086,0.081,19,51,2
1.846,1.343,0.093,0.084,15,17,2
1.247,0.997,0.091,0.089,42,85,2
1.078,0.823,0.083,0.079,5,24,2
1.718,1.15,0.1,0.102,39,95,2
1.269,0.919,0.088,0.088,83,91,2
1.747,1.092,0.096,0.089,3,51,2
1.222,1.47,0.079,0.072,15,41,2
1.275,1.083,0.102,0.101,5,72,2
1.931,2.134,0.099,0.09,54,92,2
1.809,1.297,0.128,0.117,72,75,2
1.562,1.125,0.085,0.082,9,34,2
2.434,1.89,0.128,0.113,53,67,2
1.479,1.249,0.093,0.09,28,77,2
4.65,1.385,0.117,0.114,14,97,2
2.689,1.493,0.085,0.079,32,70,2
1.342,0.976,0.087,0.079,24,31,2
1.532,1.22,0.106,0.098,75,80,2
1.191,0.813,0.095,0.089,49,60,2
1.921,1.296,0.119,0.105,34,53,2
2.271,1.551,0.103,0.095,17,60,2
1.154,0.842,0.095,0.084,7,53,2
1.675,1.234,0.079,0.077,11,43,2
1.307,1.658,0.084,0.084,39,58,2
0.799,0.715,0.067,0.061,1,70,2
2.209,2.481,0.124,0.119,76,77,2
1.269,0.983,0.087,0.086,6,85,2
1.804,1.471,0.123,0.111,57,65,2
2.349,1.652,0.118,0.111,83,100,2
2.637,3.093,0.081,0.08,10,95,2
1.627,1.513,0.103,0.096,36,72,2
1.688,1.123,0.096,0.091,20,33,2
1.828,1.444,0.101,0.092,22,89,2
1.184,0.997,0.143,0.125,59,99,2
1.907,1.869,0.118,0.118,71,82,2
0.94,0.804,0.077,0.072,8,79,2
2.012,1.512,0.105,0.1,65,79,2
1.56,1.269,0.097,0.094,30,51,2
3.81,2.524,0.134,0.127,27,86,2
2.606,2.242,0.123,0.114,60,76,2
0.533,0.417,0.079,0.075,46,91,2
1.031,0.708,0.068,0.063,1,30,2
1.56,1.103,0.08,0.075,91,92,2
1.349,1.089,0.109,0.101,17,20,2
1.268,0.899,0.091,0.085,26,50,2
1.111,0.91,0.075,0.074,8,39,2
2.414,2.074,0.127,0.122,67,83,2
2.609,2.709,0.124,0.111,65,100,2
1.639,1.768,0.087,0.086,41,64,2
1.517,1.236,0.126,0.12,23,84,2
1.523,1.403,0.086,0.08,58,94,2
1.282,1.116,0.087,0.079,9,74,2
2.272,1.382,0.105,0.096,64,74,2
0.959,0.839,0.072,0.07,19,47,2
0.738,0.644,0.084,0.08,42,93,2
1.499,0.738,0.083,0.079,5,32,2
1.495,1.155,0.099,0.099,39,83,2
1.032,0.829,0.071,0.068,3,11,2
0.954,0.787,0.103,0.096,16,100,2
2.008,1.48,0.1,0.098,11,98,2
2.756,2.455,0.105,0.099,22,52,2
4.568,3.917,0.17,0.15,63,81,2
1.759,1.629,0.097,0.094,18,91,2
1.18,1.015,0.088,0.083,24,71,2
1.637,1.557,0.085,0.081,28,37,2
1.677,1.057,0.122,0.111,95,100,2
1.05,1.351,0.079,0.077,43,45,2
3.612,2.654,0.135,0.133,38,55,2
1.105,0.791,0.09,0.081,45,66,2
2.472,2.092,0.132,0.122,79,86,2
1.381,0.717,0.099,0.092,10,55,2
5.941,3.266,0.15,0.135,51,86,2
2.83,2.622,0.118,0.112,16,76,2
1.099,0.848,0.072,0.066,6,45,2
1.735,0.796,0.085,0.077,30,91,2
1.635,1.256,0.097,0.086,22,49,2
2.616,1.64,0.111,0.108,39,98,2
1.678,1.843,0.088,0.087,11,83,2
1.877,1.47,0.089,0.08,7,93,2
3.075,1.505,0.104,0.093,5,29,2
1.312,0.976,0.09,0.082,70,94,2
1.35,1.143,0.089,0.085,31,47,2
1.632,1.691,0.085,0.083,37,64,2
2.278,2.417,0.101,0.098,21,25,2
1.158,0.884,0.103,0.091,14,57,2
1.313,0.757,0.087,0.084,4,64,2
2.081,1.701,0.143,0.14,55,84,2
1.449,1.056,0.087,0.085,12,74,2
0.894,0.776,0.068,0.067,2,47,2
1.824,1.036,0.105,0.098,34,93,2
1.629,1.132,0.071,0.07,8,22,2
2.717,1.918,0.144,0.133,67,98,2
3.359,1.992,0.122,0.104,29,61,2
2.34,1.724,0.114,0.108,15,81,2
1.066,0.809,0.073,0.069,3,91,2
1.657,2.085,0.096,0.092,11,18,2
1.341,1.231,0.11,0.105,52,71,2
3.591,2.714,0.127,0.122,74,96,2
0.949,0.972,0.101,0.088,33,66,2
1.358,1.047,0.1,0.095,25,27,2
2.846,2.508,0.132,0.119,59,82,2
2.179,1.992,0.13,0.127,71,99,2
2.199,1.368,0.107,0.102,49,100,2
1.353,1.269,0.089,0.084,8,62,2
2.543,2.249,0.128,0.116,18,51,2
1.652,1.149,0.089,0.084,36,69,2
1.179,0.829,0.095,0.093,20,28,2
1.717,1.905,0.092,0.086,22,92,2
0.471,0.502,0.056,0.056,1,3,2
1.67,1.322,0.098,0.089,12,34,2
4.506,2.438,0.118,0.118,38,95,2
3.536,1.321,0.102,0.088,14,17,2
1.013,0.677,0.076,0.072,4,24,2
1.446,1.144,0.102,0.098,43,85,2
4.034,2.176,0.127,0.113,25,67,2
1.463,1.954,0.096,0.089,23,44,2
3.733,3.286,0.145,0.137,62,97,2
1.808,1.125,0.074,0.075,11,58,2
1.35,1.049,0.084,0.079,44,70,2
1.35,0.954,0.089,0.089,39,43,2
1.281,0.912,0.09,0.085,42,53,2
3.212,0.951,0.084,0.077,16,36,2
0.668,0.523,0.064,0.059,10,15,2
2.295,1.289,0.117,0.103,21,65,2
1.434,1.189,0.089,0.087,27,46,2
4.141,2.267,0.113,0.106,66,95,2
2.545,1.153,0.098,0.09,5,69,2
1.929,1.601,0.106,0.1,54,89,2
1.437,1.025,0.099,0.094,46,51,2
1.359,1.516,0.082,0.083,42,64,2
1.739,2.005,0.096,0.095,39,74,2
1.259,1.012,0.078,0.08,44,47,2
2.271,1.415,0.083,0.082,9,83,2
2.007,2.149,0.103,0.103,64,83,2
2.301,1.887,0.092,0.085,70,78,2
1.869,2.029,0.122,0.106,58,63,2
1.566,1.404,0.1,0.09,25,50,2
1.359,0.831,0.094,0.087,14,20,2
1.616,1.199,0.094,0.088,42,100,2
0.506,0.428,0.071,0.068,45,91,2
1.042,0.861,0.072,0.067,2,30,2
0.878,1.268,0.066,0.063,3,9,2
4.346,2.671,0.157,0.145,63,76,2
2.635,2.588,0.122,0.116,24,86,2
2.056,1.466,0.119,0.112,18,66,2
2.797,2.026,0.099,0.096,8,55,2
2.822,1.258,0.108,0.098,31,100,2
1.289,0.915,0.096,0.091,46,66,2
1.782,1.578,0.093,0.091,27,71,2
1.575,1.662,0.09,0.087,9,18,2
2.632,2.162,0.127,0.123,60,81,2
3.275,0.86,0.125,0.114,21,52,2
1.664,1.29,0.1,0.095,12,98,2
2.824,1.177,0.108,0.107,38,39,2
1.066,0.701,0.07,0.067,10,22,2
2.178,1.681,0.087,0.083,41,93,2
1.025,0.763,0.071,0.069,6,32,2
2.454,1.766,0.124,0.117,67,74,2
1.728,1.371,0.122,0.114,20,84,2
1.456,0.95,0.099,0.088,37,53,2
2.656,2.033,0.123,0.115,76,80,2
1.404,1.266,0.092,0.086,27,31,2
2.856,1.921,0.125,0.118,89,98,2
2.445,1.161,0.093,0.085,31,70,2
1.033,0.855,0.07,0.069,9,58,2
2.682,2.989,0.136,0.131,17,97,2
2.086,1.672,0.122,0.108,50,67,2
1.338,1.01,0.093,0.092,36,85,2
1.09,1.123,0.11,0.102,71,75,2
2.274,2.176,0.109,0.097,57,92,2
1.413,1.006,0.092,0.092,6,72,2
2.444,1.004,0.098,0.092,43,69,2
1.584,1.351,0.109,0.102,54,100,2
3.664,1.035,0.089,0.08,16,41,2
1.428,1.103,0.084,0.082,10,62,2
2.959,1.733,0.111,0.104,38,79,2
1.508,1.768,0.084,0.075,80,91,2
1.571,1.173,0.104,0.093,66,79,2
1.201,0.768,0.096,0.093,33,51,2
2.898,2.092,0.141,0.131,72,82,2
1.661,1.288,0.112,0.1,21,89,2
2.115,2.437,0.093,0.091,23,33,2
1.994,0.801,0.112,0.096,29,56,2
1.494,1.133,0.116,0.103,54,65,2
1.724,1.815,0.108,0.098,27,100,2
2.304,0.852,0.103,0.096,5,85,2
2.671,2.857,0.112,0.106,18,26,2
0.976,0.832,0.065,0.06,8,15,2
2.771,1.937,0.131,0.123,49,97,2
1.463,1.584,0.11,0.101,75,77,2
0.931,0.556,0.072,0.067,2,70,2
1.396,1.01,0.08,0.08,12,43,2
1.63,0.866,0.115,0.108,84,93,2
1.636,0.784,0.093,0.086,4,53,2
3.188,1.437,0.086,0.08,14,60,2
1.01,1.042,0.092,0.085,28,80,2
1.533,1.085,0.097,0.087,41,53,2
1.227,0.906,0.076,0.074,12,58,2
1.374,0.992,0.09,0.086,47,70,2
1.717,0.833,0.154,0.126,61,97,2
1.245,1.217,0.089,0.086,20,44,2
2.346,2.023,0.113,0.106,26,67,2
1.185,0.969,0.076,0.074,7,24,2
2.106,2.274,0.093,0.087,11,34,2
1.876,1.039,0.105,0.089,21,92,2
3.77,1.694,0.097,0.095,23,28,2
3.651,2.341,0.151,0.141,72,99,2
1.058,0.874,0.073,0.069,10,79,2
1.383,0.92,0.093,0.086,45,51,2
3.18,2.447,0.122,0.119,38,62,2
0.99,0.578,0.069,0.065,4,6,2
1.739,1.735,0.119,0.108,57,89,2
2.782,1.336,0.086,0.08,6,69,2
2.813,1.366,0.11,0.106,43,72,2
2.511,1.878,0.085,0.082,8,95,2
4.139,3.936,0.12,0.114,65,95,2
1.78,1.142,0.087,0.081,24,46,2
2.064,2.285,0.115,0.102,59,75,2
2.187,1.243,0.105,0.096,22,65,2
2.028,1.276,0.083,0.079,3,26,2
1.015,0.837,0.076,0.07,15,36,2
0.88,0.598,0.078,0.07,19,70,2
1.592,1.051,0.072,0.073,9,43,2
1.865,2.103,0.11,0.099,78,100,2
1.593,1.254,0.093,0.089,22,25,2
3.25,1.12,0.108,0.1,34,64,2
1.519,1.074,0.11,0.099,49,57,2
1.215,1.145,0.085,0.08,32,47,2
2.661,1.206,0.107,0.091,69,93,2
2.936,2.29,0.09,0.081,6,29,2
1.438,0.835,0.089,0.079,4,93,2
1.333,1.127,0.089,0.088,12,83,2
1.134,0.975,0.072,0.071,10,39,2
1.499,1.252,0.105,0.097,21,49,2
1.037,0.658,0.077,0.069,19,30,2
1.123,0.947,0.08,0.073,33,91,2
1.146,1.104,0.081,0.076,5,45,2
2.951,1.753,0.109,0.099,15,76,2
2.675,1.86,0.131,0.123,29,96,2
3.994,2.852,0.157,0.147,52,86,2
1.258,0.955,0.093,0.084,3,66,2
2.408,3.232,0.091,0.087,26,27,2
1.523,1.175,0.098,0.092,30,66,2
0.878,0.775,0.073,0.072,36,45,2
2.061,1.482,0.121,0.116,77,96,2
1.52,1.264,0.108,0.099,51,71,2
1.213,0.939,0.066,0.063,7,8,2
1.586,1.201,0.099,0.093,12,18,2
2.759,3.11,0.122,0.118,16,81,2
1.509,1.469,0.096,0.091,9,98,2
1.753,1.609,0.117,0.11,64,98,2
1.358,1.711,0.086,0.081,58,78,2
2.007,1.462,0.085,0.084,37,93,2
0.665,0.552,0.063,0.065,1,47,2
2.273,1.059,0.091,0.084,11,74,2
1.708,1.263,0.114,0.108,56,84,2
1.186,0.879,0.087,0.082,7,64,2
1.548,1.252,0.122,0.108,17,57,2
1.078,0.851,0.08,0.074,7,32,2
0.369,0.224,0.057,0.055,1,11,2
1.752,1.108,0.078,0.075,11,22,2
1.998,1.529,0.128,0.117,21,84,2
3.643,4.342,0.109,0.102,66,74,2
1.047,0.845,0.074,0.076,41,45,2
1.344,0.841,0.099,0.095,47,66,2
1.913,1.355,0.145,0.131,61,81,2
2.837,0.661,0.123,0.108,20,52,2
1.282,0.836,0.093,0.087,26,71,2
1.301,1.256,0.09,0.086,8,18,2
1.347,0.924,0.082,0.076,3,30,2
1.772,0.479,0.074,0.071,44,91,2
1.026,0.847,0.087,0.079,15,20,2
4.054,3.118,0.139,0.131,25,86,2
2.108,2.018,0.111,0.108,89,95,2
1.154,0.725,0.081,0.077,19,66,2
1.427,1.186,0.101,0.096,9,55,2
2.88,2.367,0.14,0.133,62,76,2
0.988,0.812,0.076,0.075,45,47,2
3.137,2.171,0.113,0.112,38,74,2
2.002,1.634,0.091,0.088,43,64,2
1.254,0.98,0.083,0.081,8,83,2
2.415,1.749,0.116,0.111,65,83,2
1.223,0.868,0.087,0.079,24,50,2
3.459,2.244,0.136,0.118,59,63,2
1.243,1.099,0.095,0.091,71,78,2
2.372,2.058,0.098,0.096,74,77,2
2.316,1.301,0.076,0.072,19,26,2
0.981,0.814,0.067,0.06,9,15,2
1.426,1.32,0.097,0.09,5,53,2
1.246,1.544,0.082,0.073,15,60,2
1.474,0.783,0.104,0.102,85,93,2
0.922,0.685,0.108,0.096,29,80,2
1.131,0.817,0.086,0.078,3,70,2
1.687,1.238,0.111,0.099,20,89,2
1.541,1.127,0.083,0.08,22,33,2
1.962,1.868,0.129,0.116,34,72,2
1.47,1.301,0.097,0.088,32,51,2
2.201,2.051,0.122,0.107,67,79,2
6.938,1.681,0.141,0.128,55,65,2
1.061,0.821,0.094,0.089,28,56,2
2.197,1.691,0.112,0.104,69,85,2
1.268,0.896,0.095,0.09,4,85,2
2.714,2.233,0.096,0.087,12,95,2
2.432,2.132,0.109,0.098,70,75,2
1.386,1.031,0.095,0.093,37,85,2
2.427,2.329,0.111,0.109,81,91,2
1.129,1.019,0.076,0.073,1,51,2
1.898,0.984,0.093,0.089,39,79,2
1.759,1.748,0.09,0.093,11,62,2
1.948,1.935,0.092,0.088,56,92,2
1.686,1.944,0.095,0.098,7,72,2
1.482,1.017,0.094,0.093,17,41,2
1.941,1.313,0.091,0.085,42,69,2
1.303,1.041,0.088,0.083,9,100,2
1.354,1.352,0.09,0.086,26,31,2
1.331,0.873,0.092,0.086,30,70,2
0.896,0.819,0.069,0.068,8,58,2
1.342,0.927,0.097,0.086,36,53,2
1.907,2.031,0.095,0.087,77,80,2
2.59,1.943,0.132,0.119,51,67,2
0.908,0.776,0.072,0.068,3,4,2
2.07,1.313,0.127,0.116,16,97,2
1.112,0.93,0.076,0.074,14,36,2
1.799,0.878,0.071,0.068,2,26,2
1.082,0.836,0.074,0.064,12,15,2
1.388,1.034,0.112,0.103,18,70,2
1.129,0.888,0.075,0.072,8,43,2
1.713,1.305,0.101,0.096,56,89,2
1.595,1.898,0.09,0.085,7,69,2
2.637,1.197,0.1,0.096,42,72,2
1.665,1.129,0.103,0.102,39,62,2
1.281,0.968,0.093,0.089,44,51,2
1.394,1.071,0.081,0.078,11,79,2
2.124,1.532,0.115,0.11,23,65,2
2.879,3.209,0.084,0.083,9,95,2
3.246,2.397,0.109,0.102,64,95,2
1.526,2.031,0.104,0.094,58,75,2
3.246,2.523,0.098,0.093,25,46,2
2.243,0.984,0.085,0.077,10,34,2
1.612,1.263,0.095,0.096,41,85,2
1.007,0.772,0.071,0.069,6,24,2
2.397,2.902,0.1,0.091,16,17,2
1.786,1.007,0.099,0.089,20,92,2
1.646,1.234,0.09,0.082,22,28,2
2.326,1.427,0.113,0.102,34,69,2
1.354,1.024,0.093,0.085,46,70,2
1.921,1.266,0.12,0.109,27,67,2
1.47,1.013,0.129,0.118,60,97,2
1.385,0.994,0.091,0.088,21,44,2
1.967,1.526,0.088,0.082,36,93,2
1.461,1.265,0.095,0.089,8,98,2
2.357,1.81,0.132,0.123,65,98,2
2.736,1.996,0.1,0.092,59,78,2
1.771,1.347,0.129,0.121,57,84,2
1.36,0.841,0.079,0.077,6,64,2
1.148,0.967,0.103,0.093,16,57,2
1.098,0.871,0.081,0.077,10,74,2
1.026,0.773,0.074,0.075,37,45,2
4.05,3.171,0.151,0.144,76,96,2
1.539,1.464,0.099,0.092,31,66,2
2.525,1.966,0.141,0.136,17,81,2
1.268,1.084,0.093,0.09,50,71,2
0.285,0.224,0.056,0.057,1,91,2
1.625,1.363,0.12,0.105,18,30,2
0.394,0.247,0.076,0.071,32,91,2
3.282,2.258,0.128,0.127,49,81,2
1.468,1.113,0.1,0.095,20,49,2
2.918,1.896,0.147,0.133,53,86,2
1.101,0.717,0.077,0.074,2,66,2
1.734,1.295,0.105,0.102,12,55,2
1.979,2.041,0.123,0.12,84,85,2
1.07,0.659,0.072,0.071,4,45,2
2.606,1.902,0.114,0.108,14,76,2
3.253,3.172,0.12,0.11,28,96,2
1.088,0.708,0.086,0.085,33,47,2
1.989,1.735,0.109,0.1,72,94,2
1.547,1.325,0.108,0.1,23,25,2
1.773,1.178,0.081,0.08,11,39,2
2.967,2.218,0.096,0.087,7,29,2
1.629,1.646,0.092,0.084,5,93,2
1.424,1.266,0.088,0.082,58,80,2
0.9,0.687,0.084,0.078,19,53,2
1.478,0.98,0.076,0.072,9,60,2
2.711,1.905,0.131,0.121,39,97,2
1.968,1.656,0.087,0.083,5,26,2
1.978,1.245,0.121,0.118,18,85,2
1.605,1.106,0.117,0.102,20,100,2
1.632,0.952,0.1,0.092,24,65,2
2.092,1.305,0.089,0.083,22,46,2
4.147,3.405,0.144,0.123,63,95,2
2.274,1.164,0.097,0.093,45,72,2
2.598,1.44,0.1,0.099,38,41,2
2.041,1.215,0.095,0.086,79,92,2
2.002,1.968,0.118,0.106,51,89,2
4.145,1.919,0.094,0.083,16,79,2
1.526,1.141,0.102,0.097,43,51,2
3.466,2.747,0.148,0.132,74,99,2
1.628,1.349,0.107,0.098,60,62,2
1.782,1.32,0.119,0.104,53,100,2
1.714,0.818,0.099,0.089,33,69,2
2.029,1.259,0.091,0.087,27,92,2
1.929,1.158,0.098,0.094,25,28,2
1.251,1.271,0.114,0.11,17,34,2
1.259,0.69,0.06,0.057,1,24,2
1.568,1.026,0.103,0.094,46,85,2
2.563,1.832,0.088,0.085,11,17,2
2.241,1.464,0.125,0.114,20,67,2
1.11,0.849,0.082,0.078,26,44,2
4.191,3.848,0.156,0.147,67,97,2
1.184,0.801,0.084,0.076,14,58,2
1.409,1.305,0.085,0.081,41,70,2
1.444,0.947,0.102,0.093,47,53,2
0.897,0.796,0.068,0.066,1,64,2
1.656,1.238,0.091,0.087,11,57,2
1.713,1.701,0.117,0.108,50,84,2
1.027,0.958,0.079,0.08,7,47,2
1.54,1.097,0.118,0.106,17,74,2
2.321,1.836,0.104,0.089,31,93,2
2.397,1.801,0.132,0.122,62,98,2
3.168,2.72,0.123,0.112,51,52,2
2.152,1.352,0.102,0.101,10,81,2
1.002,1.038,0.068,0.065,6,91,2
4.057,1.129,0.1,0.095,14,18,2
1.402,1.373,0.102,0.104,57,71,2
3.252,2.208,0.128,0.118,71,96,2
1.769,1.441,0.08,0.078,30,45,2
1.332,0.978,0.091,0.087,36,66,2
1.536,1.207,0.1,0.093,20,27,2
2.296,1.822,0.094,0.089,36,100,2
1.54,1.145,0.097,0.089,5,66,2
1.061,0.943,0.111,0.099,15,55,2
2.873,3.184,0.142,0.131,54,86,2
1.723,2.623,0.112,0.112,83,85,2
0.999,0.801,0.071,0.07,3,45,2
1.424,1.069,0.09,0.088,45,100,2
2.955,1.726,0.098,0.092,27,49,2
1.103,1.018,0.084,0.076,9,20,2
2.276,2.01,0.126,0.111,28,63,2
1.354,1.02,0.093,0.091,14,83,2
3.944,1.971,0.089,0.085,16,39,2
0.38,0.283,0.078,0.068,2,93,2
1.891,1.304,0.1,0.094,75,94,2
2.569,1.315,0.104,0.099,34,47,2
1.822,1.193,0.098,0.096,49,74,2
2.118,1.908,0.091,0.082,32,64,2
1.94,2.108,0.088,0.086,24,25,2
1.858,1.355,0.11,0.106,26,84,2
1.94,2.284,0.116,0.102,61,74,2
1.228,0.957,0.09,0.086,47,93,2
1.107,0.937,0.091,0.087,28,78,2
1.032,0.965,0.068,0.066,6,11,2
3.478,0.727,0.11,0.101,14,98,2
0.996,0.865,0.087,0.079,16,22,2
1.86,1.575,0.109,0.105,27,52,2
2.117,1.656,0.139,0.129,66,81,2
1.282,1.168,0.1,0.095,21,71,2
3.126,2.481,0.135,0.121,22,86,2
1.622,0.86,0.126,0.115,59,96,2
5.922,2.833,0.14,0.129,65,76,2
1.452,1.079,0.099,0.094,18,45,2
1.81,1.917,0.099,0.097,8,76,2
0.541,0.486,0.08,0.078,43,91,2
1.231,0.743,0.084,0.078,4,30,2
6.013,2.625,0.146,0.144,38,81,2
1.254,0.961,0.09,0.083,12,20,2
2.787,2.374,0.118,0.115,76,78,2
1.25,0.889,0.112,0.097,23,50,2
2.109,2.31,0.115,0.114,62,83,2
0.944,0.78,0.081,0.072,19,93,2
1.217,1.142,0.076,0.076,42,47,2
1.537,1.018,0.105,0.1,39,57,2
1.369,1.487,0.086,0.083,44,64,2
1.659,1.771,0.115,0.108,78,84,2
0.886,0.675,0.079,0.073,2,53,2
1.212,0.953,0.082,0.077,12,60,2
2.916,2.055,0.115,0.113,82,93,2
1.164,0.747,0.083,0.077,4,70,2
1.553,1.106,0.082,0.083,14,43,2
1.517,1.173,0.099,0.091,69,70,2
0.862,0.705,0.067,0.065,8,36,2
2.616,1.647,0.148,0.142,99,100,2
1.272,0.974,0.092,0.089,3,85,2
2.298,2.018,0.127,0.116,52,65,2
1.741,1.0,0.12,0.109,29,75,2
2.724,3.022,0.091,0.086,15,95,2
1.814,0.906,0.105,0.102,33,72,2
2.436,1.742,0.099,0.099,27,89,2
2.627,3.061,0.095,0.089,25,33,2
3.454,2.341,0.126,0.123,74,82,2
1.595,1.073,0.095,0.086,60,79,2
1.991,1.602,0.11,0.104,28,38,2
2.375,1.659,0.116,0.113,86,91,2
1.429,0.98,0.085,0.082,6,51,2
1.772,1.43,0.108,0.098,16,62,2
1.825,1.489,0.09,0.083,45,69,2
0.972,0.81,0.068,0.066,10,41,2
2.051,1.741,0.106,0.095,79,89,2
2.125,1.112,0.105,0.095,51,92,2
1.418,0.96,0.099,0.097,30,85,2
2.157,1.834,0.115,0.112,56,67,2
2.089,1.671,0.112,0.104,69,100,2
2.03,1.888,0.114,0.109,11,97,2
1.869,1.338,0.084,0.082,37,70,2
1.647,1.071,0.1,0.09,21,31,2
1.492,1.257,0.094,0.085,70,80,2
1.702,1.17,0.102,0.092,31,53,2
1.363,1.196,0.084,0.082,27,44,2
4.166,3.064,0.139,0.129,66,97,2
2.501,1.492,0.132,0.112,21,67,2
1.751,0.942,0.103,0.091,46,53,2
1.096,1.606,0.078,0.071,15,58,2
2.322,1.067,0.096,0.087,32,69,2
1.896,0.8,0.09,0.086,26,92,2
1.638,1.821,0.082,0.082,24,28,2
