Cation Runtime (min),Neutral Runtime (min),Cation@Neutral Runtime (min),Neutral@Cation Runtime (min),Monomer 1,Monomer 2,Oligomer Length
1081.0,1075.0,50.0,21.0,50,97,6
16807.0,1314.0,50.0,19.0,25,97,6
696.0,494.0,78.0,18.0,44,97,6
877.0,519.0,34.0,15.0,31,67,6
2285.0,1556.0,40.0,18.0,25,38,6
2357.0,874.0,44.0,14.0,70,95,6
1113.0,513.0,26.0,14.0,16,34,6
1694.0,312.0,23.0,28.0,45,100,6
1749.0,1044.0,38.0,19.0,23,37,6
1277.0,787.0,35.0,17.0,23,44,6
2063.0,1146.0,41.0,16.0,24,96,6
1066.0,578.0,39.0,21.0,47,85,6
3299.0,708.0,101.0,23.0,18,96,6
899.0,420.0,40.0,15.0,5,96,6
1301.0,272.0,40.0,12.0,5,66,6
1228.0,849.0,69.0,17.0,26,85,6
882.0,774.0,28.0,12.0,32,66,6
1007.0,611.0,67.0,15.0,32,96,6
1380.0,1212.0,50.0,15.0,72,95,6
994.0,532.0,33.0,15.0,26,66,6
888.0,1683.0,46.0,17.0,26,96,6
1371.0,501.0,40.0,15.0,53,66,6
1142.0,609.0,25.0,11.0,45,93,6
1499.0,962.0,47.0,21.0,22,97,6
1242.0,726.0,48.0,19.0,57,97,6
2951.0,1402.0,57.0,25.0,23,96,6
869.0,702.0,37.0,14.0,6,97,6
1582.0,593.0,42.0,17.0,89,95,6
910.0,572.0,35.0,12.0,22,33,6
527.0,398.0,30.0,13.0,2,96,6
864.0,411.0,21.0,9.0,2,66,6
566.0,459.0,28.0,12.0,3,33,6
903.0,739.0,44.0,17.0,46,97,6
2157.0,3282.0,36.0,24.0,45,79,6
2257.0,1044.0,66.0,23.0,38,96,6
2169.0,790.0,27.0,11.0,4,95,6
744.0,495.0,30.0,12.0,32,50,6
1331.0,865.0,32.0,15.0,27,29,6
983.0,301.0,35.0,12.0,8,96,6
441.0,310.0,21.0,8.0,9,33,6
986.0,258.0,31.0,13.0,15,66,6
1040.0,9914.0,40.0,17.0,15,96,6
1577.0,1191.0,55.0,22.0,23,46,6
2026.0,437.0,24.0,25.0,45,64,6
620.0,629.0,32.0,14.0,9,96,6
760.0,426.0,25.0,11.0,15,33,6
631.0,333.0,21.0,8.0,8,33,6
1416.0,896.0,41.0,14.0,67,92,6
2836.0,917.0,37.0,15.0,28,66,6
1712.0,2583.0,43.0,20.0,28,96,6
990.0,453.0,34.0,16.0,7,47,6
467.0,324.0,25.0,11.0,44,64,6
603.0,410.0,32.0,14.0,50,64,6
1350.0,301.0,41.0,15.0,49,66,6
2094.0,1117.0,40.0,18.0,23,60,6
621.0,506.0,34.0,17.0,11,96,6
1569.0,405.0,35.0,14.0,64,66,6
752.0,559.0,42.0,17.0,64,96,6
2179.0,1932.0,37.0,15.0,30,95,6
1306.0,466.0,28.0,11.0,69,94,6
507.0,308.0,18.0,8.0,10,33,6
1466.0,1579.0,38.0,13.0,5,95,6
1710.0,686.0,47.0,18.0,66,85,6
1389.0,813.0,44.0,19.0,18,95,6
714.0,836.0,28.0,14.0,24,74,6
863.0,265.0,29.0,13.0,36,66,6
1659.0,596.0,47.0,16.0,36,96,6
1311.0,554.0,46.0,18.0,69,85,6
436.0,817.0,57.0,40.0,23,33,6
2113.0,608.0,36.0,23.0,45,74,6
1517.0,3068.0,29.0,14.0,26,67,6
2654.0,963.0,73.0,27.0,81,96,6
560.0,256.0,28.0,9.0,3,66,6
1869.0,1009.0,42.0,23.0,38,47,6
1329.0,1313.0,43.0,16.0,33,96,6
567.0,301.0,27.0,13.0,26,33,6
740.0,507.0,39.0,39.0,46,96,6
1925.0,894.0,33.0,14.0,27,66,6
1826.0,1026.0,45.0,19.0,27,96,6
3227.0,2268.0,38.0,16.0,67,95,6
766.0,422.0,51.0,18.0,52,96,6
1224.0,525.0,51.0,9.0,7,33,6
2574.0,992.0,27.0,14.0,25,59,6
458.0,563.0,25.0,13.0,11,50,6
4215.0,1487.0,39.0,19.0,25,85,6
3015.0,1002.0,58.0,25.0,23,97,6
1604.0,1148.0,63.0,22.0,84,96,6
900.0,392.0,34.0,14.0,31,66,6
755.0,684.0,42.0,17.0,31,96,6
1958.0,495.0,38.0,21.0,45,56,6
1343.0,675.0,29.0,11.0,30,33,6
908.0,573.0,52.0,18.0,50,96,6
3129.0,2134.0,47.0,22.0,25,96,6
771.0,468.0,20.0,10.0,9,94,6
221.0,382.0,27.0,10.0,5,33,6
608.0,496.0,31.0,14.0,4,96,6
1016.0,720.0,40.0,18.0,18,33,6
3229.0,1701.0,52.0,19.0,38,95,6
3241.0,2074.0,58.0,60.0,55,96,6
456.0,291.0,39.0,13.0,41,66,6
1058.0,574.0,38.0,19.0,21,33,6
938.0,593.0,89.0,17.0,41,96,6
1003.0,925.0,35.0,14.0,62,76,6
2212.0,399.0,30.0,30.0,45,67,6
3788.0,927.0,49.0,22.0,30,81,6
3108.0,598.0,40.0,24.0,45,97,6
1374.0,627.0,43.0,18.0,29,95,6
562.0,467.0,33.0,16.0,47,49,6
2087.0,708.0,41.0,18.0,53,95,6
940.0,526.0,47.0,17.0,72,96,6
631.0,1288.0,35.0,14.0,4,50,6
1041.0,764.0,30.0,13.0,32,95,6
2204.0,1807.0,88.0,19.0,85,95,6
1663.0,1365.0,37.0,18.0,25,50,6
769.0,561.0,26.0,13.0,36,94,6
3207.0,368.0,49.0,19.0,89,96,6
915.0,363.0,60.0,14.0,24,51,6
1174.0,628.0,50.0,19.0,77,96,6
227.0,1599.0,37.0,15.0,17,33,6
1485.0,709.0,42.0,17.0,28,85,6
705.0,486.0,30.0,11.0,24,34,6
1596.0,400.0,41.0,14.0,63,66,6
1791.0,532.0,30.0,14.0,16,80,6
